index,time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,pace_min_per_km,is_walk,heart_rate,latitude,lat_prev,longitude,lon_prev,distance_cumulative_km,distance_segment_m,time_prev,time_delta_s,zone_hr,zone_pace,zone_effective,efficiency_factor,decoupling_%,hrTSS,distance_km,duration_min,avg_pace_min_per_km,avg_hr,avg_cadence,gap_min_per_km
0,2025-08-22 21:26:42+00:00,34.60701,-98.425754,342.3,101,164,,0.0,0.0,2.656433280410757,2.686914386600766,376.44461367588826,6.274089442751927,False,101,34.60701,,-98.425754,,0.0,0.0,,,Z1 (Recovery),Z2 (Aerobic),mixed,0.01805,11.39,66.8,8.35,46.1,5.52,176.9,167,8.57
1,2025-08-22 21:26:43+00:00,34.607009,-98.425725,342.2,104,164,,1.0,2.656433280410757,2.656433280410757,2.7266481317628593,376.44461367588826,6.274089442751927,False,104,34.607009,34.60701,-98.425725,-98.425754,0.0026564332804107573,2.656433280410757,2025-08-22 21:26:42+00:00,1.0,Z1 (Recovery),Z2 (Aerobic),mixed,0.01805,11.39,66.8,8.35,46.1,5.52,176.9,167,8.57
2,2025-08-22 21:26:44+00:00,34.60701,-98.425695,342.2,108,164,,1.0,2.7478765989807843,2.7478765989807843,2.7674740363291965,363.91736090729484,6.065301479033611,False,108,34.60701,34.607009,-98.425695,-98.425725,0.005404309879391542,2.7478765989807843,2025-08-22 21:26:43+00:00,1.0,Z1 (Recovery),Z2 (Aerobic),mixed,0.01805,11.39,66.8,8.35,46.1,5.52,176.9,167,8.57
3,2025-08-22 21:26:45+00:00,34.607012,-98.425664,342.1,115,164,,1.0,2.8458493672491394,2.8458493672491394,2.877219267787177,351.3889426152664,5.85649408988586,False,115,34.607012,34.60701,-98.425664,-98.425695,0.008250159246640682,2.8458493672491394,2025-08-22 21:26:44+00:00,1.0,Z1 (Recovery),Z2 (Aerobic),mixed,0.01805,11.39,66.8,8.35,46.1,5.52,176.9,167,8.57
4,2025-08-22 21:26:46+00:00,34.607013,-98.425632,342.1,117,166,,1.0,2.9307776545945443,2.9307776545945443,2.94212722113501,341.20636836175964,5.686784179574938,False,117,34.607013,34.607012,-98.425632,-98.425664,0.011180936901235226,2.9307776545945443,2025-08-22 21:26:45+00:00,1.0,Z1 (Recovery),Z3 (Tempo),mixed,0.01805,11.39,66.8,8.35,46.1,5.52,176.9,167,8.57
5,2025-08-22 21:26:47+00:00,34.607014,-98.425597,342.0,120,168,,1.0,3.2051594377006603,3.2051594377006603,2.9127312833275902,311.99695972609305,5.199959728666875,False,120,34.607014,34.607013,-98.425597,-98.425632,0.014386096338935886,3.2051594377006603,2025-08-22 21:26:46+00:00,1.0,Z1 (Recovery),Z3 (Tempo),mixed,0.01805,11.39,66.8,8.35,46.1,5.52,176.9,167,8.57
6,2025-08-22 21:26:48+00:00,34.607019,-98.425565,342.0,123,170,,1.0,2.9809730471499214,2.9809730471499214,2.9297168632562522,335.46093311916724,5.591026734017224,False,123,34.607019,34.607014,-98.425565,-98.425597,0.017367069386085805,2.9809730471499214,2025-08-22 21:26:47+00:00,1.0,Z1 (Recovery),Z3 (Tempo),mixed,0.01805,11.39,66.8,8.35,46.1,5.52,176.9,167,8.57
7,2025-08-22 21:26:49+00:00,34.607023,-98.425537,342.0,125,172,,1.0,2.6008969099436854,2.6008969099436854,2.933082136668754,384.48275138350334,6.408058672483434,False,125,34.607023,34.607019,-98.425537,-98.425565,0.019967966296029493,2.6008969099436854,2025-08-22 21:26:48+00:00,1.0,Z1 (Recovery),Z2 (Aerobic),mixed,0.01805,11.39,66.8,8.35,46.1,5.52,176.9,167,8.57
8,2025-08-22 21:26:50+00:00,34.607024,-98.425505,342.0,127,174,,1.0,2.9307772668924494,2.9307772668924494,2.8702718527495494,341.20641349873586,5.68678493185938,False,127,34.607024,34.607023,-98.425505,-98.425537,0.02289874356292194,2.9307772668924494,2025-08-22 21:26:49+00:00,1.0,Z1 (Recovery),Z3 (Tempo),mixed,0.01805,11.39,66.8,8.35,46.1,5.52,176.9,167,8.57
9,2025-08-22 21:26:51+00:00,34.607027,-98.425473,341.9,128,178,,1.0,2.947604021657051,2.947604021657051,2.8272403638035923,339.2585953379963,5.654321230919783,False,128,34.607027,34.607024,-98.425473,-98.425505,0.025846347584578988,2.947604021657051,2025-08-22 21:26:50+00:00,1.0,Z1 (Recovery),Z3 (Tempo),mixed,0.01805,11.39,66.8,8.35,46.1,5.52,176.9,167,8.57
10,2025-08-22 21:26:52+00:00,34.607032,-98.425442,341.9,130,178,,1.0,2.891108018104641,2.891108018104641,2.8927943236302656,345.88814867442494,5.7648140075120375,False,130,34.607032,34.607027,-98.425442,-98.425473,0.02873745560268363,2.891108018104641,2025-08-22 21:26:51+00:00,1.0,Z1 (Recovery),Z2 (Aerobic),mixed,0.01805,11.39,66.8,8.35,46.1,5.52,176.9,167,8.57
11,2025-08-22 21:26:53+00:00,34.607035,-98.425412,341.9,131,176,,1.0,2.7658156024201355,2.7658156024201355,2.874503675851469,361.55700297770505,6.025962101528516,False,131,34.607035,34.607032,-98.425412,-98.425442,0.03150327120510377,2.7658156024201355,2025-08-22 21:26:52+00:00,1.0,Z1 (Recovery),Z2 (Aerobic),mixed,0.01805,11.39,66.8,8.35,46.1,5.52,176.9,167,8.57
12,2025-08-22 21:26:54+00:00,34.607035,-98.42538,341.9,132,176,,1.0,2.9286667090770515,2.9286667090770515,2.8345580195043185,341.45230554935455,5.690883140899427,False,132,34.607035,34.607035,-98.42538,-98.425412,0.034431937914180824,2.9286667090770515,2025-08-22 21:26:53+00:00,1.0,Z1 (Recovery),Z3 (Tempo),mixed,0.01805,11.39,66.8,8.35,46.1,5.52,176.9,167,8.57
