index,time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,pace_min_per_km,is_walk,heart_rate,latitude,lat_prev,longitude,lon_prev,distance_cumulative_km,distance_segment_m,time_prev,time_delta_s,zone_hr,zone_pace,zone_effective,efficiency_factor,decoupling_%,hrTSS,distance_km,duration_min,avg_pace_min_per_km,avg_hr,avg_cadence,gap_min_per_km
6,2025-04-25 20:17:54+00:00,34.607066,-98.424266,341.6,94,156,,1.0,0.0,0.0,0.0,,,False,94,34.607066,34.607066,-98.424266,-98.424266,0.0,0.0,2025-04-25 20:17:53+00:00,1.0,Z1 (Recovery),,Z1 (Recovery),0.01801,7.93,72.9,8.3,46.7,5.62,181.7,159,9.21
7,2025-04-25 20:17:55+00:00,34.607066,-98.424266,341.6,94,158,,1.0,0.0,0.0,0.0,,,False,94,34.607066,34.607066,-98.424266,-98.424266,0.0,0.0,2025-04-25 20:17:54+00:00,1.0,Z1 (Recovery),,Z1 (Recovery),0.01801,7.93,72.9,8.3,46.7,5.62,181.7,159,9.21
8,2025-04-25 20:17:56+00:00,34.607066,-98.424266,341.6,96,160,,1.0,0.0,0.0,0.0,,,False,96,34.607066,34.607066,-98.424266,-98.424266,0.0,0.0,2025-04-25 20:17:55+00:00,1.0,Z1 (Recovery),,Z1 (Recovery),0.01801,7.93,72.9,8.3,46.7,5.62,181.7,159,9.21
9,2025-04-25 20:17:57+00:00,34.607066,-98.424266,341.6,98,160,,1.0,0.0,0.0,0.0,,,False,98,34.607066,34.607066,-98.424266,-98.424266,0.0,0.0,2025-04-25 20:17:56+00:00,1.0,Z1 (Recovery),,Z1 (Recovery),0.01801,7.93,72.9,8.3,46.7,5.62,181.7,159,9.21
10,2025-04-25 20:17:58+00:00,34.607066,-98.424266,341.6,100,160,,1.0,0.0,0.0,0.0,,,False,100,34.607066,34.607066,-98.424266,-98.424266,0.0,0.0,2025-04-25 20:17:57+00:00,1.0,Z1 (Recovery),,Z1 (Recovery),0.01801,7.93,72.9,8.3,46.7,5.62,181.7,159,9.21
11,2025-04-25 20:17:59+00:00,34.607066,-98.424266,341.6,101,160,,1.0,0.0,0.0,0.0,,,False,101,34.607066,34.607066,-98.424266,-98.424266,0.0,0.0,2025-04-25 20:17:58+00:00,1.0,Z1 (Recovery),,Z1 (Recovery),0.01801,7.93,72.9,8.3,46.7,5.62,181.7,159,9.21
12,2025-04-25 20:18:00+00:00,34.607066,-98.424266,341.6,102,160,,1.0,0.0,0.0,0.0,,,False,102,34.607066,34.607066,-98.424266,-98.424266,0.0,0.0,2025-04-25 20:17:59+00:00,1.0,Z1 (Recovery),,Z1 (Recovery),0.01801,7.93,72.9,8.3,46.7,5.62,181.7,159,9.21
13,2025-04-25 20:18:01+00:00,34.607066,-98.424266,341.6,103,162,,1.0,0.0,0.0,0.0,,,False,103,34.607066,34.607066,-98.424266,-98.424266,0.0,0.0,2025-04-25 20:18:00+00:00,1.0,Z1 (Recovery),,Z1 (Recovery),0.01801,7.93,72.9,8.3,46.7,5.62,181.7,159,9.21
14,2025-04-25 20:18:02+00:00,34.607066,-98.424266,341.6,104,162,,1.0,0.0,0.0,0.0,,,False,104,34.607066,34.607066,-98.424266,-98.424266,0.0,0.0,2025-04-25 20:18:01+00:00,1.0,Z1 (Recovery),,Z1 (Recovery),0.01801,7.93,72.9,8.3,46.7,5.62,181.7,159,9.21
15,2025-04-25 20:18:03+00:00,34.607066,-98.424266,341.6,104,164,,1.0,0.0,0.0,0.0,,,False,104,34.607066,34.607066,-98.424266,-98.424266,0.0,0.0,2025-04-25 20:18:02+00:00,1.0,Z1 (Recovery),,Z1 (Recovery),0.01801,7.93,72.9,8.3,46.7,5.62,181.7,159,9.21
