time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,zone_hr,zone_pace,zone_effective,pace_min_per_km,is_walk,planning_id,heart_rate,latitude,longitude,distance_cumulative_km,distance_segment_m,lat_prev,lon_prev,time_prev,time_delta_s
2025-05-22 17:48:26+00:00,34.606995,-98.425457,341.9,85,150,,1.0,2.199313850954061,2.199313850954061,1.7642596603727447,454.68726510597867,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),7.578136241341814,False,2025w20-Unknown,85,34.606995,-98.425457,0.040976535114434734,2.199313850954061,34.606994,-98.425481,2025-05-22 17:48:25+00:00,1.0
2025-05-22 17:48:27+00:00,34.606994,-98.425437,341.9,85,154,,1.0,1.8337919320595955,1.8337919320595955,1.8513225037730265,545.3181369801672,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),9.088653793607353,False,2025w20-Unknown,85,34.606994,-98.425437,0.04281032704649433,1.8337919320595955,34.606995,-98.425457,2025-05-22 17:48:26+00:00,1.0
2025-05-22 17:48:28+00:00,34.606993,-98.425415,341.9,86,154,,1.0,2.016527446992231,2.016527446992231,1.7965594686761364,495.90200296631645,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),8.265049912838705,False,2025w20-Unknown,86,34.606993,-98.425415,0.044826854493486556,2.016527446992231,34.606994,-98.425437,2025-05-22 17:48:27+00:00,1.0
2025-05-22 17:48:32+00:00,34.606985,-98.425346,341.8,87,154,,1.0,1.9506734683252374,1.9506734683252374,2.2611047242075766,512.6434619826741,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),8.544074787826634,False,2025w20-Unknown,87,34.606985,-98.425346,0.0512410853208564,1.9506734683252374,34.606988,-98.425367,2025-05-22 17:48:31+00:00,1.0
2025-05-22 17:48:33+00:00,34.606981,-98.425314,341.8,87,146,,1.0,2.962250568599188,2.962250568599188,2.7178100681172443,337.58116568541595,Z1 (Recovery),Z2 (Aerobic),mixed,5.626364014129122,False,2025w20-Unknown,87,34.606981,-98.425314,0.05420333588945559,2.962250568599188,34.606985,-98.425346,2025-05-22 17:48:32+00:00,1.0
2025-05-22 17:48:34+00:00,34.606979,-98.425276,341.8,90,148,,1.0,3.4848972016981152,3.4848972016981152,3.1622027694780024,286.9525102527333,Z1 (Recovery),Z3 (Tempo),mixed,4.78255140262923,False,2025w20-Unknown,90,34.606979,-98.425276,0.05768823309115371,3.4848972016981152,34.606981,-98.425314,2025-05-22 17:48:33+00:00,1.0
2025-05-22 17:48:35+00:00,34.606979,-98.425236,341.8,87,156,,1.0,3.6608358562938643,3.6608358562938643,3.5055849765185796,273.1616601385603,Z1 (Recovery),Z5 (VO2max),mixed,4.552703441031343,False,2025w20-Unknown,87,34.606979,-98.425236,0.06134906894744757,3.6608358562938643,34.606979,-98.425276,2025-05-22 17:48:34+00:00,1.0
2025-05-22 17:48:36+00:00,34.606979,-98.425195,341.8,88,154,,1.0,3.7523567524736063,3.7523567524736063,3.609049093887348,266.49918063915055,Z1 (Recovery),Z5 (VO2max),mixed,4.44166189395853,False,2025w20-Unknown,88,34.606979,-98.425195,0.06510142569992118,3.7523567524736063,34.606979,-98.425236,2025-05-22 17:48:35+00:00,1.0
2025-05-22 17:48:37+00:00,34.606981,-98.425155,341.8,86,156,,1.0,3.6675845035281247,3.6675845035281247,3.6076284579577376,272.65902095453424,Z1 (Recovery),Z5 (VO2max),mixed,4.544326104542935,False,2025w20-Unknown,86,34.606981,-98.425155,0.0687690102034493,3.6675845035281247,34.606979,-98.425195,2025-05-22 17:48:36+00:00,1.0
2025-05-22 17:48:38+00:00,34.60698,-98.425117,341.8,91,156,,1.0,3.4795711554430313,3.4795711554430313,3.5585329993716064,287.39173746618684,Z1 (Recovery),Z5 (VO2max),mixed,4.789871870827696,False,2025w20-Unknown,91,34.60698,-98.425117,0.07224858135889232,3.4795711554430313,34.606981,-98.425155,2025-05-22 17:48:37+00:00,1.0
