index,time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,pace_min_per_km,is_walk,heart_rate,latitude,lat_prev,longitude,lon_prev,distance_cumulative_km,distance_segment_m,time_prev,time_delta_s,zone_hr,zone_pace,zone_effective,efficiency_factor,decoupling_%,hrTSS,distance_km,duration_min,avg_pace_min_per_km,avg_hr,avg_cadence,gap_min_per_km
3,2025-08-26 18:32:57+00:00,34.607073,-98.425719,342.2,79,174,,1.0,0.0,0.0,2.9467846244289353,,,False,79,34.607073,34.607073,-98.425719,-98.425719,0.0,0.0,2025-08-26 18:32:56+00:00,1.0,Z1 (Recovery),,Z1 (Recovery),0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
4,2025-08-26 18:32:58+00:00,34.607014,-98.425628,342.1,78,166,,1.0,10.601996702091506,10.601996702091506,3.1558639748646606,94.32185541075722,1.5720340675744673,False,78,34.607014,34.607073,-98.425628,-98.425719,0.010601996702091507,10.601996702091506,2025-08-26 18:32:57+00:00,1.0,Z1 (Recovery),Z5 (VO2max),mixed,0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
5,2025-08-26 18:32:59+00:00,34.607011,-98.425673,342.1,82,162,,1.0,4.131926420053169,4.131926420053169,3.8686967661386937,242.01786245436872,4.033639108168226,False,82,34.607011,34.607014,-98.425673,-98.425628,0.014733923122144676,4.131926420053169,2025-08-26 18:32:58+00:00,1.0,Z1 (Recovery),Z5 (VO2max),mixed,0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
7,2025-08-26 18:33:01+00:00,34.607029,-98.42563,342.0,83,162,,1.0,3.5641639563701673,3.5641639563701673,2.530926758791098,280.5707066906161,4.676187797200491,False,83,34.607029,34.607019,-98.42563,-98.425667,0.019343483830693467,3.5641639563701673,2025-08-26 18:33:00+00:00,1.0,Z1 (Recovery),Z5 (VO2max),mixed,0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
9,2025-08-26 18:33:03+00:00,34.607034,-98.425588,342.0,86,162,,1.0,2.2657715222140187,2.2657715222140187,2.2401272976194897,441.3507673637107,7.355860834420756,False,86,34.607034,34.607029,-98.425588,-98.425612,0.023256630496046996,2.2657715222140187,2025-08-26 18:33:02+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
10,2025-08-26 18:33:04+00:00,34.607041,-98.425561,342.0,89,162,,1.0,2.5907529730902015,2.5907529730902015,2.040293370637015,385.9881703840018,6.4331490393390425,False,89,34.607041,34.607034,-98.425561,-98.425588,0.025847383469137196,2.5907529730902015,2025-08-26 18:33:03+00:00,1.0,Z1 (Recovery),Z2 (Aerobic),mixed,0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
12,2025-08-26 18:33:06+00:00,34.607048,-98.425523,342.0,92,164,,1.0,2.5649943214577924,2.5649943214577924,2.447843941684856,389.86441086218804,6.497753176516829,False,92,34.607048,34.607047,-98.425523,-98.425551,0.02954495068387854,2.5649943214577924,2025-08-26 18:33:05+00:00,1.0,Z1 (Recovery),Z2 (Aerobic),mixed,0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
13,2025-08-26 18:33:07+00:00,34.607049,-98.42549,341.9,96,164,,1.0,3.022233305310543,3.022233305310543,2.38945394127235,330.88113953441035,5.514696688278157,False,96,34.607049,34.607048,-98.42549,-98.425523,0.032567183989189084,3.022233305310543,2025-08-26 18:33:06+00:00,1.0,Z1 (Recovery),Z3 (Tempo),mixed,0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
14,2025-08-26 18:33:08+00:00,34.607049,-98.425458,341.9,98,166,,1.0,2.9286662152821914,2.9286662152821914,2.4384010119879655,341.45236312074746,5.690884100424562,False,98,34.607049,34.607049,-98.425458,-98.42549,0.035495850204471276,2.9286662152821914,2025-08-26 18:33:07+00:00,1.0,Z1 (Recovery),Z3 (Tempo),mixed,0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
15,2025-08-26 18:33:09+00:00,34.607047,-98.425433,341.9,99,168,,1.0,2.2988029710276705,2.2988029710276705,2.366947988741062,435.009007993823,7.250164633530649,False,99,34.607047,34.607049,-98.425433,-98.425458,0.037794653175498946,2.2988029710276705,2025-08-26 18:33:08+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
17,2025-08-26 18:33:11+00:00,34.607048,-98.425394,341.9,102,170,,1.0,2.2077292052232766,2.2077292052232766,2.0184837804016005,452.95410217616154,7.549250134739431,False,102,34.607048,34.607046,-98.425394,-98.425418,0.04137969062758385,2.2077292052232766,2025-08-26 18:33:10+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
18,2025-08-26 18:33:12+00:00,34.607054,-98.42537,341.9,104,172,,1.0,2.2955883240000365,2.2955883240000365,2.066799197753204,435.6181766326078,7.260317464482684,False,104,34.607054,34.607048,-98.42537,-98.425394,0.043675278951583886,2.2955883240000365,2025-08-26 18:33:11+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
19,2025-08-26 18:33:13+00:00,34.607059,-98.42535,341.9,106,174,,1.0,1.9129901548953894,1.9129901548953894,2.267998866301172,522.7418434125105,8.71238148160329,False,106,34.607059,34.607054,-98.42535,-98.42537,0.04558826910647927,1.9129901548953894,2025-08-26 18:33:12+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
20,2025-08-26 18:33:14+00:00,34.607067,-98.425324,341.9,107,174,,1.0,2.540380057785688,2.540380057785688,2.2796071040273076,393.6418871401651,6.56071124039899,False,107,34.607067,34.607059,-98.425324,-98.42535,0.048128649164264965,2.540380057785688,2025-08-26 18:33:13+00:00,1.0,Z1 (Recovery),Z2 (Aerobic),mixed,0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
21,2025-08-26 18:33:15+00:00,34.607073,-98.425299,341.9,108,172,,1.0,2.383306589601471,2.383306589601471,2.2522236775292597,419.58512780649716,6.993099449612545,False,108,34.607073,34.607067,-98.425299,-98.425324,0.05051195575386643,2.383306589601471,2025-08-26 18:33:14+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
22,2025-08-26 18:33:16+00:00,34.607078,-98.425275,342.0,109,172,,1.0,2.265770393853953,2.265770393853953,2.371779861927822,441.3509871576414,7.355864497660261,False,109,34.607078,34.607073,-98.425275,-98.425299,0.05277772614772039,2.265770393853953,2025-08-26 18:33:15+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01681,3.67,42.3,6.71,45.5,6.78,151.5,171,21.21
