hr,planning_id
,2025w18-Tue
109.0,2025w18-Tue
109.0,2025w18-Tue
109.0,2025w18-Tue
109.0,2025w18-Tue
110.0,2025w18-Tue
110.0,2025w18-Tue
111.0,2025w18-Tue
111.0,2025w18-Tue
111.0,2025w18-Tue
110.0,2025w18-Tue
110.0,2025w18-Tue
110.0,2025w18-Tue
110.0,2025w18-Tue
110.0,2025w18-Tue
110.0,2025w18-Tue
109.0,2025w18-Tue
109.0,2025w18-Tue
109.0,2025w18-Tue
109.0,2025w18-Tue
107.0,2025w18-Tue
106.0,2025w18-Tue
105.0,2025w18-Tue
104.0,2025w18-Tue
102.0,2025w18-Tue
101.0,2025w18-Tue
101.0,2025w18-Tue
101.0,2025w18-Tue
100.0,2025w18-Tue
100.0,2025w18-Tue
100.0,2025w18-Tue
100.0,2025w18-Tue
100.0,2025w18-Tue
100.0,2025w18-Tue
100.0,2025w18-Tue
100.0,2025w18-Tue
100.0,2025w18-Tue
100.0,2025w18-Tue
100.0,2025w18-Tue
101.0,2025w18-Tue
101.0,2025w18-Tue
102.0,2025w18-Tue
103.0,2025w18-Tue
104.0,2025w18-Tue
104.0,2025w18-Tue
105.0,2025w18-Tue
106.0,2025w18-Tue
107.0,2025w18-Tue
108.0,2025w18-Tue
109.0,2025w18-Tue
109.0,2025w18-Tue
109.0,2025w18-Tue
109.0,2025w18-Tue
110.0,2025w18-Tue
112.0,2025w18-Tue
114.0,2025w18-Tue
114.0,2025w18-Tue
115.0,2025w18-Tue
116.0,2025w18-Tue
116.0,2025w18-Tue
116.0,2025w18-Tue
114.0,2025w18-Tue
112.0,2025w18-Tue
112.0,2025w18-Tue
112.0,2025w18-Tue
112.0,2025w18-Tue
112.0,2025w18-Tue
112.0,2025w18-Tue
112.0,2025w18-Tue
112.0,2025w18-Tue
112.0,2025w18-Tue
112.0,2025w18-Tue
112.0,2025w18-Tue
112.0,2025w18-Tue
112.0,2025w18-Tue
113.0,2025w18-Tue
114.0,2025w18-Tue
114.0,2025w18-Tue
115.0,2025w18-Tue
115.0,2025w18-Tue
116.0,2025w18-Tue
116.0,2025w18-Tue
117.0,2025w18-Tue
117.0,2025w18-Tue
117.0,2025w18-Tue
116.0,2025w18-Tue
114.0,2025w18-Tue
112.0,2025w18-Tue
112.0,2025w18-Tue
111.0,2025w18-Tue
111.0,2025w18-Tue
111.0,2025w18-Tue
111.0,2025w18-Tue
111.0,2025w18-Tue
111.0,2025w18-Tue
111.0,2025w18-Tue
110.0,2025w18-Tue
110.0,2025w18-Tue
110.0,2025w18-Tue
110.0,2025w18-Tue
110.0,2025w18-Tue
110.0,2025w18-Tue
110.0,2025w18-Tue
110.0,2025w18-Tue
110.0,2025w18-Tue
110.0,2025w18-Tue
112.0,2025w18-Tue
112.0,2025w18-Tue
113.0,2025w18-Tue
114.0,2025w18-Tue
114.0,2025w18-Tue
114.0,2025w18-Tue
114.0,2025w18-Tue
114.0,2025w18-Tue
114.0,2025w18-Tue
115.0,2025w18-Tue
116.0,2025w18-Tue
117.0,2025w18-Tue
117.0,2025w18-Tue
117.0,2025w18-Tue
117.0,2025w18-Tue
116.0,2025w18-Tue
115.0,2025w18-Tue
115.0,2025w18-Tue
115.0,2025w18-Tue
115.0,2025w18-Tue
115.0,2025w18-Tue
115.0,2025w18-Tue
115.0,2025w18-Tue
115.0,2025w18-Tue
115.0,2025w18-Tue
116.0,2025w18-Tue
118.0,2025w18-Tue
118.0,2025w18-Tue
118.0,2025w18-Tue
116.0,2025w18-Tue
118.0,2025w18-Tue
116.0,2025w18-Tue
116.0,2025w18-Tue
115.0,2025w18-Tue
115.0,2025w18-Tue
115.0,2025w18-Tue
114.0,2025w18-Tue
