index,time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,pace_min_per_km,is_walk,heart_rate,latitude,lat_prev,longitude,lon_prev,distance_cumulative_km,distance_segment_m,time_prev,time_delta_s,zone_hr,zone_pace,zone_effective,efficiency_factor,decoupling_%,hrTSS,distance_km,duration_min,avg_pace_min_per_km,avg_hr,avg_cadence,gap_min_per_km
205,2025-09-07 01:41:59+00:00,34.61615,-98.404904,350.7,137,162,,1.0,3.019855964208177,3.019855964208177,1.9953513673062742,331.14162127338597,5.5190380592771415,False,137,34.61615,34.61615,-98.404904,-98.404871,0.2517388861408733,3.019855964208177,2025-09-07 01:41:58+00:00,1.0,Z1 (Recovery),Z3 (Tempo),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
206,2025-09-07 01:42:00+00:00,34.616149,-98.404937,350.6,140,160,,1.0,3.0219024580684484,3.0219024580684484,2.5082941211129364,330.91736542654127,5.515300454354535,False,140,34.616149,34.61615,-98.404937,-98.404904,0.25476078859894175,3.0219024580684484,2025-09-07 01:41:59+00:00,1.0,Z1 (Recovery),Z3 (Tempo),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
207,2025-09-07 01:42:01+00:00,34.616146,-98.404971,350.5,142,160,,1.0,3.1291983711926505,3.1291983711926505,2.825064381566804,319.57066359422396,5.326188378925852,False,142,34.616146,34.616149,-98.404971,-98.404937,0.25788998697013443,3.1291983711926505,2025-09-07 01:42:00+00:00,1.0,Z1 (Recovery),Z3 (Tempo),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
208,2025-09-07 01:42:02+00:00,34.616145,-98.404999,350.4,144,156,,1.0,2.564713769033311,2.564713769033311,2.719734920830958,389.9070578846383,6.4984639616459,False,144,34.616145,34.616146,-98.404999,-98.404971,0.2604547007391677,2.564713769033311,2025-09-07 01:42:01+00:00,1.0,Z1 (Recovery),Z2 (Aerobic),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
209,2025-09-07 01:42:03+00:00,34.616143,-98.405025,350.3,146,156,,1.0,2.3896513453314334,2.3896513453314334,2.5635233019344823,418.471088660553,6.974532093378838,False,146,34.616143,34.616145,-98.405025,-98.404999,0.2628443520844992,2.3896513453314334,2025-09-07 01:42:02+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
210,2025-09-07 01:42:04+00:00,34.61614,-98.405052,350.3,147,156,,1.0,2.493208660528946,2.493208660528946,2.414059184690321,401.0895741826299,6.684839606029637,False,147,34.61614,34.616143,-98.405052,-98.405025,0.2653375607450281,2.493208660528946,2025-09-07 01:42:03+00:00,1.0,Z2 (Aerobic),Z2 (Aerobic),Z2 (Aerobic),0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
211,2025-09-07 01:42:05+00:00,34.616136,-98.405076,350.2,148,154,,1.0,2.2408443635860724,2.2408443635860724,2.340368286779335,446.26035446731254,7.437687449800357,False,148,34.616136,34.61614,-98.405076,-98.405052,0.26757840510861414,2.2408443635860724,2025-09-07 01:42:04+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
212,2025-09-07 01:42:06+00:00,34.616135,-98.405102,350.1,148,156,,1.0,2.3818777849718438,2.3818777849718438,2.3205321654714006,419.83682215324956,6.997294363781564,False,148,34.616135,34.616136,-98.405102,-98.405076,0.269960282893586,2.3818777849718438,2025-09-07 01:42:05+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
213,2025-09-07 01:42:07+00:00,34.616135,-98.405126,350.0,149,156,,1.0,2.1962592794783795,2.1962592794783795,2.226987121860838,455.31964706712773,7.588675961773697,False,149,34.616135,34.616135,-98.405126,-98.405102,0.2721565421730644,2.1962592794783795,2025-09-07 01:42:06+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
214,2025-09-07 01:42:08+00:00,34.616136,-98.405151,349.9,150,156,,1.0,2.2904707387917607,2.2904707387917607,2.236912407661607,436.59147574507193,7.27653914880039,False,150,34.616136,34.616135,-98.405151,-98.405126,0.2744470129118562,2.2904707387917607,2025-09-07 01:42:07+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
215,2025-09-07 01:42:09+00:00,34.616134,-98.405173,349.9,151,158,,1.0,2.0254834424761348,2.0254834424761348,2.2186310094450037,493.70929380568487,8.228504687071208,False,151,34.616134,34.616136,-98.405173,-98.405151,0.2764724963543323,2.0254834424761348,2025-09-07 01:42:08+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
216,2025-09-07 01:42:10+00:00,34.616133,-98.405198,349.8,152,156,,1.0,2.290470792589915,2.290470792589915,2.2026721204379816,436.5914654904921,7.276538977890384,False,152,34.616133,34.616134,-98.405198,-98.405173,0.2787629671469222,2.290470792589915,2025-09-07 01:42:09+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
217,2025-09-07 01:42:11+00:00,34.616134,-98.405223,349.7,150,156,,1.0,2.290470793888828,2.290470793888828,2.1496746515490885,436.59146524290355,7.2765389737639,False,150,34.616134,34.616133,-98.405223,-98.405198,0.281053437940811,2.290470793888828,2025-09-07 01:42:10+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
218,2025-09-07 01:42:12+00:00,34.616136,-98.405246,349.6,151,156,,1.0,2.1164648344432693,2.1164648344432693,2.183829803073909,472.48599822025744,7.874782386537564,False,151,34.616136,34.616134,-98.405246,-98.405223,0.2831699027752543,2.1164648344432693,2025-09-07 01:42:11+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
219,2025-09-07 01:42:13+00:00,34.616138,-98.405268,349.5,149,156,,1.0,2.025483394347296,2.025483394347296,2.1107238606785375,493.70930553703505,8.228504882594102,False,149,34.616138,34.616136,-98.405268,-98.405246,0.2851953861696016,2.025483394347296,2025-09-07 01:42:12+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
220,2025-09-07 01:42:14+00:00,34.616138,-98.405292,349.4,148,156,,1.0,2.196259200100237,2.196259200100237,2.0577263756728055,455.3196635234859,7.588676236046881,False,148,34.616138,34.616138,-98.405292,-98.405268,0.28739164536970185,2.196259200100237,2025-09-07 01:42:13+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
221,2025-09-07 01:42:15+00:00,34.616139,-98.405313,349.4,148,156,,1.0,1.9249410806130565,1.9249410806130565,1.982174453206166,519.4964199535497,8.658290982439825,False,148,34.616139,34.616138,-98.405313,-98.405292,0.2893165864503149,1.9249410806130565,2025-09-07 01:42:14+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
222,2025-09-07 01:42:16+00:00,34.616137,-98.405335,349.3,146,154,,1.0,2.025483368860169,2.025483368860169,2.003281711476544,493.70931174949374,8.228504986135286,False,146,34.616137,34.616139,-98.405335,-98.405313,0.2913420698191751,2.025483368860169,2025-09-07 01:42:15+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
224,2025-09-07 01:42:18+00:00,34.616134,-98.405377,349.1,147,154,,1.0,2.131019685699187,2.131019685699187,1.9430770859689699,469.2589217785195,7.82099767160605,False,147,34.616134,34.616137,-98.405377,-98.405354,0.29521179472698433,2.131019685699187,2025-09-07 01:42:17+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
225,2025-09-07 01:42:19+00:00,34.616132,-98.405399,349.0,147,152,,1.0,2.0254834907784676,2.0254834907784676,1.9248908474369433,493.70928203204625,8.228504490843505,False,147,34.616132,34.616134,-98.405399,-98.405377,0.2972372782177628,2.0254834907784676,2025-09-07 01:42:18+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
226,2025-09-07 01:42:20+00:00,34.616128,-98.405418,349.0,147,152,,1.0,1.794693662396954,1.794693662396954,2.003353795252232,557.1981564053788,9.286654513361524,False,147,34.616128,34.616132,-98.405418,-98.405399,0.2990319718801598,1.794693662396954,2025-09-07 01:42:19+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
227,2025-09-07 01:42:21+00:00,34.616126,-98.405439,348.9,147,152,,1.0,1.9345521762000364,1.9345521762000364,1.9614952877158451,516.9154971897734,8.615275517012796,False,147,34.616126,34.616128,-98.405439,-98.405418,0.3009665240563598,1.9345521762000364,2025-09-07 01:42:20+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
228,2025-09-07 01:42:22+00:00,34.616123,-98.405462,348.8,146,152,,1.0,2.1310199611865146,2.1310199611865146,1.906972635285408,469.2588611151336,7.820996660547596,False,146,34.616123,34.616126,-98.405462,-98.405439,0.30309754401754635,2.1310199611865146,2025-09-07 01:42:21+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
229,2025-09-07 01:42:23+00:00,34.616123,-98.405483,348.7,151,152,,1.0,1.9217271480172526,1.9217271480172526,1.9147521014732178,520.3652355287549,8.672771270987099,False,151,34.616123,34.616123,-98.405483,-98.405462,0.30501927116556354,1.9217271480172526,2025-09-07 01:42:22+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
231,2025-09-07 01:42:25+00:00,34.616126,-98.405522,348.6,150,152,,1.0,1.8335909933360026,1.8335909933360026,1.9276841516431933,545.3778970525035,9.08964979680496,False,150,34.616126,34.616125,-98.405522,-98.405502,0.30860573238752587,1.8335909933360026,2025-09-07 01:42:24+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
232,2025-09-07 01:42:26+00:00,34.616126,-98.405545,348.5,149,152,,1.0,2.104748704595647,2.104748704595647,1.9093819837082993,475.116101896884,7.918617535484795,False,149,34.616126,34.616126,-98.405545,-98.405522,0.31071048109212146,2.104748704595647,2025-09-07 01:42:25+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
233,2025-09-07 01:42:27+00:00,34.616124,-98.405567,348.5,151,152,,1.0,2.0254836836407812,2.0254836836407812,1.9669454616323958,493.70923502208257,8.228503707342544,False,151,34.616124,34.616126,-98.405567,-98.405545,0.31273596477576227,2.0254836836407812,2025-09-07 01:42:26+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
234,2025-09-07 01:42:28+00:00,34.616124,-98.405587,348.4,151,152,,1.0,1.8302163083427834,1.8302163083427834,2.023520295433432,546.383504202012,9.106409949483671,False,151,34.616124,34.616124,-98.405587,-98.405567,0.31456618108410506,1.8302163083427834,2025-09-07 01:42:27+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
235,2025-09-07 01:42:29+00:00,34.616121,-98.405609,348.3,148,152,,1.0,2.040687618246764,2.040687618246764,2.042385082283088,490.0309048080273,8.167198081163948,False,148,34.616121,34.616124,-98.405609,-98.405587,0.3166068687023518,2.040687618246764,2025-09-07 01:42:28+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
236,2025-09-07 01:42:30+00:00,34.616123,-98.405632,348.3,148,152,,1.0,2.1164651623411843,2.1164651623411843,2.076540259921324,472.4859250193485,7.874781166519974,False,148,34.616123,34.616121,-98.405632,-98.405609,0.318723333864693,2.1164651623411843,2025-09-07 01:42:29+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
237,2025-09-07 01:42:31+00:00,34.616124,-98.405656,348.2,146,152,,1.0,2.199072638843926,2.199072638843926,2.1320337908579026,454.7371388903778,7.578967472744259,False,146,34.616124,34.616123,-98.405656,-98.405632,0.3209224065035369,2.199072638843926,2025-09-07 01:42:30+00:00,1.0,Z2 (Aerobic),Z1 (Recovery),mixed,0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
238,2025-09-07 01:42:32+00:00,34.616124,-98.40568,348.1,144,152,,1.0,2.196259571831964,2.196259571831964,2.1448460233418185,455.31958645756566,7.588674951612308,False,144,34.616124,34.616124,-98.40568,-98.405656,0.3231186660753688,2.196259571831964,2025-09-07 01:42:31+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
239,2025-09-07 01:42:33+00:00,34.616123,-98.405703,348.1,143,152,,1.0,2.107683963025675,2.107683963025675,2.1248142690405687,474.4544331800367,7.907589701481717,False,143,34.616123,34.616124,-98.405703,-98.40568,0.3252263500383945,2.107683963025675,2025-09-07 01:42:32+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
240,2025-09-07 01:42:34+00:00,34.616123,-98.405726,348.0,143,152,,1.0,2.1047487806663434,2.1047487806663434,2.124251665961835,475.11608472504236,7.9186172492868625,False,143,34.616123,34.616123,-98.405726,-98.405703,0.32733109881906086,2.1047487806663434,2025-09-07 01:42:33+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
241,2025-09-07 01:42:35+00:00,34.616122,-98.405748,348.0,142,152,,1.0,2.016306390834934,2.016306390834934,2.124814284657323,495.95637079040813,8.265956045052494,False,142,34.616122,34.616123,-98.405748,-98.405726,0.3293474052098958,2.016306390834934,2025-09-07 01:42:34+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
242,2025-09-07 01:42:36+00:00,34.616122,-98.405772,348.0,141,152,,1.0,2.1962596234502607,2.1962596234502607,2.1425294117104547,455.3195757562709,7.58867477325704,False,141,34.616122,34.616122,-98.405772,-98.405748,0.331543664833346,2.1962596234502607,2025-09-07 01:42:35+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
243,2025-09-07 01:42:37+00:00,34.616123,-98.405796,347.9,141,154,,1.0,2.199072665309401,2.199072665309401,2.093653344110469,454.7371334176917,7.5789673815326415,False,141,34.616123,34.616122,-98.405796,-98.405772,0.33374273749865546,2.199072665309401,2025-09-07 01:42:36+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
244,2025-09-07 01:42:38+00:00,34.616123,-98.40582,347.9,140,154,,1.0,2.1962595982913355,2.1962595982913355,2.105067219976735,455.31958097211657,7.588674860187975,False,140,34.616123,34.616123,-98.40582,-98.405796,0.3359389970969468,2.1962595982913355,2025-09-07 01:42:37+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
245,2025-09-07 01:42:39+00:00,34.61612,-98.40584,347.9,140,154,,1.0,1.8603684426664147,1.8603684426664147,2.0212511653746903,537.5279310622618,8.9588167686354,False,140,34.61612,34.616123,-98.40584,-98.40582,0.33779936553961326,1.8603684426664147,2025-09-07 01:42:38+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01558,8.23,19.6,3.25,33.4,10.29,130.7,131,12.13
