time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,zone_hr,zone_pace,zone_effective,pace_min_per_km,is_walk,planning_id,heart_rate,latitude,longitude,distance_cumulative_km,distance_segment_m,lat_prev,lon_prev,time_prev,time_delta_s
2025-05-08 20:20:52+00:00,34.607399,-98.425945,341.6,92,150,,1.0,9.758440839272122,9.758440839272122,10.75006432965567,102.47538684413334,Z1 (Recovery),Z5 (VO2max),mixed,1.7079265299151172,False,2025w18-Unknown,92,34.607399,-98.425945,0.029468409163507295,9.758440839272122,34.607486,-98.425931,2025-05-08 20:20:51+00:00,1.0
2025-05-08 20:22:23+00:00,34.607032,-98.424728,341.8,118,148,,1.0,4.033052981284482,4.033052981284482,3.9098116071217235,247.95111907543335,Z1 (Recovery),Z5 (VO2max),mixed,4.132526916294525,False,2025w18-Unknown,118,34.607032,-98.424728,0.1913182688229931,4.033052981284482,34.607034,-98.424772,2025-05-08 20:22:22+00:00,1.0
2025-05-08 20:22:24+00:00,34.607034,-98.424691,341.8,117,154,,1.0,3.39356572042883,3.39356572042883,3.7844067273264854,294.6753009615015,Z1 (Recovery),Z5 (VO2max),mixed,4.911264838535056,False,2025w18-Unknown,117,34.607034,-98.424691,0.19471183454342192,3.39356572042883,34.607032,-98.424728,2025-05-08 20:22:23+00:00,1.0
2025-05-08 20:22:25+00:00,34.607037,-98.424652,341.8,117,160,,1.0,3.5848669085455613,3.5848669085455613,3.72679662642526,278.9503837970142,Z1 (Recovery),Z5 (VO2max),mixed,4.649182361629696,False,2025w18-Unknown,117,34.607037,-98.424652,0.19829670145196748,3.5848669085455613,34.607034,-98.424691,2025-05-08 20:22:24+00:00,1.0
2025-05-08 20:22:26+00:00,34.607041,-98.424611,341.7,118,170,,1.0,3.7786227433943798,3.7786227433943798,3.6395696171986733,264.64668952415417,Z1 (Recovery),Z5 (VO2max),mixed,4.41078698029222,False,2025w18-Unknown,118,34.607041,-98.424611,0.20207532419536187,3.7786227433943798,34.607037,-98.424652,2025-05-08 20:22:25+00:00,1.0
2025-05-08 20:22:27+00:00,34.607041,-98.424569,341.7,118,170,,1.0,3.843874778473046,3.843874778473046,3.696056478087229,260.15415632172164,Z1 (Recovery),Z5 (VO2max),mixed,4.335911277167238,False,2025w18-Unknown,118,34.607041,-98.424569,0.2059191989738349,3.843874778473046,34.607041,-98.424611,2025-05-08 20:22:26+00:00,1.0
2025-05-08 20:22:28+00:00,34.607045,-98.42453,341.7,119,170,,1.0,3.5969179351515486,3.5969179351515486,3.647348960502972,278.01579519713647,Z1 (Recovery),Z5 (VO2max),mixed,4.6336058538121145,False,2025w18-Unknown,119,34.607045,-98.42453,0.20951611690898644,3.5969179351515486,34.607041,-98.424569,2025-05-08 20:22:27+00:00,1.0
2025-05-08 20:22:29+00:00,34.607048,-98.42449,341.7,120,170,,1.0,3.6760000248716103,3.6760000248716103,3.588603233548794,272.03481861644616,Z1 (Recovery),Z5 (VO2max),mixed,4.533922711434722,False,2025w18-Unknown,120,34.607048,-98.42449,0.21319211693385803,3.6760000248716103,34.607045,-98.42453,2025-05-08 20:22:28+00:00,1.0
2025-05-08 20:22:30+00:00,34.607053,-98.424454,341.7,120,172,,1.0,3.3413293206242756,3.3413293206242756,3.5350749068507143,299.2820832797066,Z1 (Recovery),Z5 (VO2max),mixed,4.9880446973978865,False,2025w18-Unknown,120,34.607053,-98.424454,0.21653344625448231,3.3413293206242756,34.607048,-98.42449,2025-05-08 20:22:29+00:00,1.0
2025-05-08 20:22:31+00:00,34.607055,-98.424416,341.6,121,170,,1.0,3.4848941086234904,3.4848941086234904,3.4700853123206827,286.9527649421156,Z1 (Recovery),Z4 (Threshold),mixed,4.782555647460758,False,2025w18-Unknown,121,34.607055,-98.424416,0.2200183403631058,3.4848941086234904,34.607053,-98.424454,2025-05-08 20:22:30+00:00,1.0
2025-05-08 20:22:32+00:00,34.607053,-98.424377,341.6,121,170,,1.0,3.5762331449826466,3.5762331449826466,3.4518584750549826,279.6238274909374,Z1 (Recovery),Z4 (Threshold),mixed,4.660406445643206,False,2025w18-Unknown,121,34.607053,-98.424377,0.22359457350808845,3.5762331449826466,34.607055,-98.424416,2025-05-08 20:22:31+00:00,1.0
2025-05-08 20:22:33+00:00,34.607059,-98.424342,341.6,122,170,,1.0,3.27196996250139,3.27196996250139,3.4242382453591786,305.6262775821785,Z1 (Recovery),Z4 (Threshold),mixed,5.093781480578894,False,2025w18-Unknown,122,34.607059,-98.424342,0.22686654347058985,3.27196996250139,34.607053,-98.424377,2025-05-08 20:22:32+00:00,1.0
2025-05-08 20:22:34+00:00,34.607062,-98.424303,341.6,121,170,,1.0,3.5848658385431103,3.5848658385431103,3.369447191095658,278.95046705747853,Z1 (Recovery),Z4 (Threshold),mixed,4.649183749306877,False,2025w18-Unknown,121,34.607062,-98.424303,0.23045140930913297,3.5848658385431103,34.607059,-98.424342,2025-05-08 20:22:33+00:00,1.0
2025-05-08 20:22:35+00:00,34.607062,-98.424268,341.6,122,170,,1.0,3.203228172145255,3.203228172145255,3.3694471484420196,312.1850665200298,Z1 (Recovery),Z4 (Threshold),mixed,5.20309484816938,False,2025w18-Unknown,122,34.607062,-98.424268,0.23365463748127824,3.203228172145255,34.607062,-98.424303,2025-05-08 20:22:34+00:00,1.0
2025-05-08 20:22:36+00:00,34.60706,-98.424233,341.6,123,170,,1.0,3.2109388373058882,3.2109388373058882,3.361845276904738,311.4353934063228,Z1 (Recovery),Z4 (Threshold),mixed,5.1906002712851596,False,2025w18-Unknown,123,34.60706,-98.424233,0.23686557631858413,3.2109388373058882,34.607062,-98.424268,2025-05-08 20:22:35+00:00,1.0
2025-05-08 20:22:37+00:00,34.607058,-98.424194,341.6,121,170,,1.0,3.5762329317144554,3.5762329317144554,3.2590589528482274,279.6238441662684,Z1 (Recovery),Z4 (Threshold),mixed,4.660406723565945,False,2025w18-Unknown,121,34.607058,-98.424194,0.24044180925029857,3.5762329317144554,34.60706,-98.424233,2025-05-08 20:22:36+00:00,1.0
2025-05-08 20:22:38+00:00,34.607054,-98.424159,341.5,122,170,,1.0,3.233960604814979,3.233960604814979,3.1862780284195096,309.21836169281715,Z1 (Recovery),Z3 (Tempo),mixed,5.153649668825675,False,2025w18-Unknown,122,34.607054,-98.424159,0.24367576985511355,3.233960604814979,34.607058,-98.424194,2025-05-08 20:22:37+00:00,1.0
