time,latitude,longitude,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,lat_prev,lon_prev,distance_segment_m,time_prev,time_delta_s,distance_cumulative_km,pace_min_per_km,heart_rate,is_walk,planning_id
2025-07-14 17:03:06+00:00,34.606969,-98.42655,343.4,103,0,,0.0,,0.720077166282195,0.733719948255613,1362.9178304030797,,,,,0.0,,23.145713793496952,103,True,2025w29-Mon
2025-07-14 17:03:07+00:00,34.606974,-98.426555,343.4,103,0,,1.0,0.720077166282195,0.720077166282195,0.7303089944664994,1369.2834232864864,34.606969,-98.42655,0.720077166282195,2025-07-14 17:03:06+00:00,1.0,0.000720077166282195,23.145713793496952,103,True,2025w29-Mon
2025-07-14 17:03:08+00:00,34.60698,-98.426559,343.5,103,0,,1.0,0.7610085541988157,0.7610085541988157,0.7364486915415516,1357.8678480734031,34.606974,-98.426555,0.7610085541988157,2025-07-14 17:03:07+00:00,1.0,0.0014810857204810106,21.90080506722632,103,True,2025w29-Mon
2025-07-14 17:03:09+00:00,34.606985,-98.426564,343.5,103,0,,1.0,0.7200771272110369,0.7200771272110369,0.7364486762968633,1357.8678761816375,34.60698,-98.426559,0.7200771272110369,2025-07-14 17:03:08+00:00,1.0,0.002201162847692047,23.14571504937609,103,True,2025w29-Mon
2025-07-14 17:03:10+00:00,34.606991,-98.426568,343.5,103,0,,1.0,0.761008530868937,0.761008530868937,0.7364486574278969,1357.8679109723362,34.606985,-98.426564,0.761008530868937,2025-07-14 17:03:09+00:00,1.0,0.0029621713785609846,21.900805738628943,103,True,2025w29-Mon
2025-07-14 17:03:11+00:00,34.606996,-98.426573,343.5,103,0,,1.0,0.7200770894259382,0.7200770894259382,0.7364486459884644,1357.8679320644223,34.606991,-98.426568,0.7200770894259382,2025-07-14 17:03:10+00:00,1.0,0.0036822484679869226,23.145716263917063,103,True,2025w29-Mon
2025-07-14 17:03:12+00:00,34.607001,-98.426578,343.5,103,102,,1.0,0.7200770706284882,0.7200770706284882,0.7364486269541907,1357.8679671599184,34.606996,-98.426573,0.7200770706284882,2025-07-14 17:03:11+00:00,1.0,0.004402325538615411,23.14571686813078,103,True,2025w29-Mon
2025-07-14 17:03:13+00:00,34.607007,-98.426582,343.5,105,102,,1.0,0.7610084969945544,0.7610084969945544,0.7282623351911299,1373.131564929214,34.607001,-98.426578,0.7610084969945544,2025-07-14 17:03:12+00:00,1.0,0.005163334035609966,21.900806713488326,105,True,2025w29-Mon
2025-07-14 17:03:14+00:00,34.607012,-98.426587,343.6,106,102,,1.0,0.7200770328433781,0.7200770328433781,0.7364485986709135,1357.86801930878,34.607007,-98.426582,0.7200770328433781,2025-07-14 17:03:13+00:00,1.0,0.0058834110684533435,23.14571808267231,106,True,2025w29-Mon
2025-07-14 17:03:15+00:00,34.607017,-98.426592,343.6,105,102,,1.0,0.7200770164242475,0.7200770164242475,0.7364485798806466,1357.8680539543795,34.607012,-98.426587,0.7200770164242475,2025-07-14 17:03:14+00:00,1.0,0.0066034880848775904,23.145718610438866,105,True,2025w29-Mon
