index,time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,pace_min_per_km,is_walk,heart_rate,latitude,lat_prev,longitude,lon_prev,distance_cumulative_km,distance_segment_m,time_prev,time_delta_s,zone_hr,zone_pace,zone_effective,efficiency_factor,decoupling_%,hrTSS,distance_km,duration_min,avg_pace_min_per_km,avg_hr,avg_cadence,gap_min_per_km
12,2025-06-05 18:08:30+00:00,34.606972,-98.42632,342.2,99,140,,1.0,2.3899131132220126,2.3899131132220126,2.2351866037875636,418.4252533983667,6.973768170814557,False,99,34.606972,34.60697,-98.42632,-98.426294,0.05646822615431834,2.3899131132220126,2025-06-05 18:08:29+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01851,20.04,80.6,9.37,59.5,6.35,172.6,151,11.97
13,2025-06-05 18:08:31+00:00,34.606969,-98.426347,342.2,102,148,,1.0,2.4934791662721314,2.4934791662721314,2.3469299423407888,401.0460618746805,6.684114399446737,False,102,34.606969,34.606972,-98.426347,-98.42632,0.05896170532059047,2.4934791662721314,2025-06-05 18:08:30+00:00,1.0,Z1 (Recovery),Z2 (Aerobic),mixed,0.01851,20.04,80.6,9.37,59.5,6.35,172.6,151,11.97
14,2025-06-05 18:08:32+00:00,34.606965,-98.426371,342.3,101,152,,1.0,2.2410821672748393,2.2410821672748393,2.353882478312457,446.2130012912477,7.436898228620837,False,101,34.606965,34.606969,-98.426371,-98.426347,0.061202787487865305,2.2410821672748393,2025-06-05 18:08:31+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01851,20.04,80.6,9.37,59.5,6.35,172.6,151,11.97
15,2025-06-05 18:08:33+00:00,34.606962,-98.426398,342.3,107,154,,1.0,2.493479372718792,2.493479372718792,2.282788781698531,401.04602867022686,6.68411384603807,False,107,34.606962,34.606965,-98.426398,-98.426371,0.0636962668605841,2.493479372718792,2025-06-05 18:08:32+00:00,1.0,Z1 (Recovery),Z2 (Aerobic),mixed,0.01851,20.04,80.6,9.37,59.5,6.35,172.6,151,11.97
16,2025-06-05 18:08:34+00:00,34.606966,-98.426421,342.4,111,154,,1.0,2.151458572074508,2.151458572074508,2.2143846132849236,464.80095549121665,7.74669808488546,False,111,34.606966,34.606962,-98.426421,-98.426398,0.06584772543265861,2.151458572074508,2025-06-05 18:08:33+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01851,20.04,80.6,9.37,59.5,6.35,172.6,151,11.97
17,2025-06-05 18:08:35+00:00,34.606972,-98.426442,342.4,112,154,,1.0,2.034444630152382,2.034444630152382,2.178568428785082,491.5346356342463,8.192260311725292,False,112,34.606972,34.606966,-98.426442,-98.426421,0.06788217006281098,2.034444630152382,2025-06-05 18:08:34+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01851,20.04,80.6,9.37,59.5,6.35,172.6,151,11.97
18,2025-06-05 18:08:36+00:00,34.606976,-98.426465,342.5,115,154,,1.0,2.1514583242040977,2.1514583242040977,2.156300532336643,464.8010090411285,7.746698977385776,False,115,34.606976,34.606972,-98.426465,-98.426442,0.07003362838701509,2.1514583242040977,2025-06-05 18:08:35+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01851,20.04,80.6,9.37,59.5,6.35,172.6,151,11.97
19,2025-06-05 18:08:37+00:00,34.60698,-98.426487,342.5,117,154,,1.0,2.062001244775629,2.062001244775629,2.2247045980898728,484.96575961515106,8.082778825777838,False,117,34.60698,34.606976,-98.426487,-98.426465,0.07209562963179071,2.062001244775629,2025-06-05 18:08:36+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01851,20.04,80.6,9.37,59.5,6.35,172.6,151,11.97
20,2025-06-05 18:08:38+00:00,34.606981,-98.426513,342.6,118,154,,1.0,2.3821398904765974,2.3821398904765974,2.2079504115919955,419.79062774517786,6.9965244554405555,False,118,34.606981,34.60698,-98.426513,-98.426487,0.07447776952226731,2.3821398904765974,2025-06-05 18:08:37+00:00,1.0,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery),0.01851,20.04,80.6,9.37,59.5,6.35,172.6,151,11.97
21,2025-06-05 18:08:39+00:00,34.606978,-98.42654,342.7,121,154,,1.0,2.4934789008406577,2.4934789008406577,2.253567430852468,401.0461045661375,6.684115110972443,False,121,34.606978,34.606981,-98.42654,-98.426513,0.07697124842310797,2.4934789008406577,2025-06-05 18:08:38+00:00,1.0,Z1 (Recovery),Z2 (Aerobic),mixed,0.01851,20.04,80.6,9.37,59.5,6.35,172.6,151,11.97
