time,latitude,longitude,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,lat_prev,lon_prev,distance_segment_m,time_prev,time_delta_s,distance_cumulative_km,pace_min_per_km,heart_rate,is_walk,planning_id
2025-06-21 17:51:51+00:00,34.60712,-98.426044,342.1,96,0,,0.0,,0.0,0.0,,,,,,0.0,,,96,True,2025w25-Sat
2025-06-21 17:51:52+00:00,34.60712,-98.426044,342.1,96,0,,1.0,0.0,0.0,0.0,,34.60712,-98.426044,0.0,2025-06-21 17:51:51+00:00,1.0,0.0,,96,True,2025w25-Sat
2025-06-21 17:51:53+00:00,34.60712,-98.426044,342.1,96,0,,1.0,0.0,0.0,0.0,,34.60712,-98.426044,0.0,2025-06-21 17:51:52+00:00,1.0,0.0,,96,True,2025w25-Sat
2025-06-21 17:51:54+00:00,34.60712,-98.426044,342.1,96,0,,1.0,0.0,0.0,0.0,,34.60712,-98.426044,0.0,2025-06-21 17:51:53+00:00,1.0,0.0,,96,True,2025w25-Sat
2025-06-21 17:51:55+00:00,34.60712,-98.426044,342.1,95,0,,1.0,0.0,0.0,0.0,,34.60712,-98.426044,0.0,2025-06-21 17:51:54+00:00,1.0,0.0,,95,True,2025w25-Sat
2025-06-21 17:51:56+00:00,34.60712,-98.426044,342.1,95,0,,1.0,0.0,0.0,0.21416931096426137,4669.203050136679,34.60712,-98.426044,0.0,2025-06-21 17:51:55+00:00,1.0,0.0,,95,True,2025w25-Sat
2025-06-21 17:52:05+00:00,34.60712,-98.426044,342.1,92,124,,9.0,0.0,0.0,0.5251072923095611,1904.3727151488124,34.60712,-98.426044,0.0,2025-06-21 17:51:56+00:00,9.0,0.0,,92,True,2025w25-Sat
2025-06-21 17:52:06+00:00,34.607125,-98.426054,342.1,92,124,,1.0,1.0708480338611708,1.0708480338611708,0.669122410937292,1494.4948542363452,34.60712,-98.426044,1.0708480338611708,2025-06-21 17:52:05+00:00,1.0,0.0010708480338611707,15.564019798313174,92,True,2025w25-Sat
2025-06-21 17:52:07+00:00,34.607134,-98.426067,342.1,91,0,,1.0,1.5546920543114815,1.5546920543114815,0.7547901222844612,1324.8716040074587,34.607125,-98.426054,1.5546920543114815,2025-06-21 17:52:06+00:00,1.0,0.0026255400881726523,10.720258043243872,91,True,2025w25-Sat
2025-06-21 17:52:08+00:00,34.607139,-98.426072,342.1,91,0,,1.0,0.7200765880536276,0.7200765880536276,0.7660599130847731,1305.3809276786146,34.607134,-98.426067,0.7200765880536276,2025-06-21 17:52:07+00:00,1.0,0.00334561667622628,23.14573237973229,91,True,2025w25-Sat
2025-06-21 17:52:09+00:00,34.607141,-98.426068,342.1,91,0,,1.0,0.42833914926836286,0.42833914926836286,0.9373954841599188,1066.785595725572,34.607139,-98.426072,0.42833914926836286,2025-06-21 17:52:08+00:00,1.0,0.003773955825494643,38.910055334582516,91,True,2025w25-Sat
2025-06-21 17:53:48+00:00,34.607091,-98.426063,342.1,92,104,,99.0,5.578554151388487,0.05634903183220694,0.8834607744639644,1131.9121673588113,34.607141,-98.426068,5.578554151388487,2025-06-21 17:52:09+00:00,99.0,0.00935250997688313,295.7761554737832,92,True,2025w25-Sat
2025-06-21 17:53:49+00:00,34.607082,-98.426045,342.1,95,104,,1.0,1.9275270723556912,1.9275270723556912,1.0455240214820942,956.458177385957,34.607091,-98.426063,1.9275270723556912,2025-06-21 17:53:48+00:00,1.0,0.011280037049238821,8.646674923030318,95,True,2025w25-Sat
2025-06-21 17:53:50+00:00,34.607076,-98.426033,342.1,93,104,,1.0,1.2850181330192811,1.2850181330192811,1.4851617649257063,673.3273260977224,34.607082,-98.426045,1.2850181330192811,2025-06-21 17:53:49+00:00,1.0,0.012565055182258103,12.970011528817798,93,True,2025w25-Sat
2025-06-21 17:53:51+00:00,34.607072,-98.426017,342.1,92,98,,1.0,1.5303939429755344,1.5303939429755344,1.8195283942890637,549.5929621866251,34.607076,-98.426033,1.5303939429755344,2025-06-21 17:53:50+00:00,1.0,0.014095449125233637,10.89046390734862,92,True,2025w25-Sat
2025-06-21 17:53:52+00:00,34.607062,-98.425991,342.1,91,98,,1.0,2.6265309014196045,2.6265309014196045,1.6606785102529558,602.1635095691576,34.607072,-98.426017,2.6265309014196045,2025-06-21 17:53:51+00:00,1.0,0.016721980026653243,6.345518337892721,91,True,2025w25-Sat
2025-06-21 17:53:53+00:00,34.60705,-98.425979,342.1,88,98,,1.0,1.7281844882058095,1.7281844882058095,1.7542870209607706,570.0321487029698,34.607062,-98.425991,1.7281844882058095,2025-06-21 17:53:52+00:00,1.0,0.01845016451485905,9.644051380939812,88,True,2025w25-Sat
2025-06-21 17:53:54+00:00,34.607043,-98.42597,342.1,92,98,,1.0,1.1332765556494928,1.1332765556494928,1.7625421786868187,567.3623088810558,34.60705,-98.425979,1.1332765556494928,2025-06-21 17:53:53+00:00,1.0,0.019583441070508543,14.706648537742083,92,True,2025w25-Sat
2025-06-21 17:53:55+00:00,34.607041,-98.425951,342.1,91,108,,1.0,1.7530613323021162,1.7530613323021162,1.6788724158637358,595.637876083351,34.607043,-98.42597,1.7530613323021162,2025-06-21 17:53:54+00:00,1.0,0.02133650240281066,9.507197319852652,91,True,2025w25-Sat
2025-06-21 17:53:56+00:00,34.607043,-98.425934,342.1,93,108,,1.0,1.5716697880959318,1.5716697880959318,1.7401246377105681,574.6714794611903,34.607041,-98.425951,1.5716697880959318,2025-06-21 17:53:55+00:00,1.0,0.02290817219090659,10.604454018417954,93,True,2025w25-Sat
2025-06-21 17:53:57+00:00,34.607037,-98.425911,342.1,93,108,,1.0,2.208181510149737,2.208181510149737,2.1008893183962094,475.98890205381525,34.607043,-98.425934,2.208181510149737,2025-06-21 17:53:56+00:00,1.0,0.025116353701056325,7.5477038112097175,93,True,2025w25-Sat
2025-06-21 17:53:58+00:00,34.607031,-98.42589,342.1,92,108,,1.0,2.034446020365377,2.034446020365377,2.100889376560594,475.9888888757766,34.607037,-98.425911,2.034446020365377,2025-06-21 17:53:57+00:00,1.0,0.027150799721421703,8.192254713647667,92,True,2025w25-Sat
