time,latitude,longitude,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,lat_prev,lon_prev,distance_segment_m,time_prev,time_delta_s,distance_cumulative_km,pace_min_per_km,heart_rate,is_walk,planning_id
2025-07-27 02:41:57+00:00,34.606775,-98.426352,342.9,81,0,,0.0,,0.0,0.0,,,,,,0.0,,,81,True,2025w30-Sun
2025-07-27 02:41:58+00:00,34.606775,-98.426352,342.9,79,0,,1.0,0.0,0.0,2.7569588057234093,362.71851357518057,34.606775,-98.426352,0.0,2025-07-27 02:41:57+00:00,1.0,0.0,,79,True,2025w30-Sun
2025-07-27 02:42:04+00:00,34.606775,-98.426352,342.9,81,0,,6.0,0.0,0.0,2.4476428747670704,408.55633405880945,34.606775,-98.426352,0.0,2025-07-27 02:41:58+00:00,6.0,0.0,,81,True,2025w30-Sun
2025-07-27 02:42:05+00:00,34.606867,-98.426397,343.1,81,98,,1.0,11.027850455074894,11.027850455074894,3.6742062890280245,272.16762515110173,34.606775,-98.426352,11.027850455074894,2025-07-27 02:42:04+00:00,1.0,0.011027850455074895,1.5113280750311742,81,True,2025w30-Sun
2025-07-27 02:42:06+00:00,34.606865,-98.42641,343.1,83,98,,1.0,1.2103808219417675,1.2103808219417675,4.08114876196197,245.029049007089,34.606867,-98.426397,1.2103808219417675,2025-07-27 02:42:05+00:00,1.0,0.012238231277016662,13.769798478186601,83,True,2025w30-Sun
2025-07-27 02:42:07+00:00,34.60692,-98.426415,343.3,82,98,,1.0,6.132825542121983,6.132825542121983,4.422419394711026,226.12057128637454,34.606865,-98.42641,6.132825542121983,2025-07-27 02:42:06+00:00,1.0,0.018371056819138646,2.717621736592437,82,True,2025w30-Sun
2025-07-27 02:42:08+00:00,34.606902,-98.426419,343.3,84,96,,1.0,2.034715174803635,2.034715174803635,2.8054035865206197,356.4549517241626,34.60692,-98.426415,2.034715174803635,2025-07-27 02:42:07+00:00,1.0,0.020405771993942282,8.19117103287366,84,True,2025w30-Sun
2025-07-27 02:42:09+00:00,34.606891,-98.426432,343.4,82,96,,1.0,1.706355520745043,1.706355520745043,3.6347151976735206,275.12471971396053,34.606902,-98.426419,1.706355520745043,2025-07-27 02:42:08+00:00,1.0,0.022112127514687323,9.767425250702063,82,True,2025w30-Sun
2025-07-27 02:42:10+00:00,34.606917,-98.426438,343.4,84,96,,1.0,2.942760246157251,2.942760246157251,2.909584353881248,343.69170244748096,34.606891,-98.426432,2.942760246157251,2025-07-27 02:42:09+00:00,1.0,0.025054887760844573,5.663628228553074,84,True,2025w30-Sun
2025-07-27 02:42:11+00:00,34.606965,-98.426443,343.5,83,96,,1.0,5.356944605894796,5.356944605894796,2.8448217069865143,351.5158779701833,34.606917,-98.426438,5.356944605894796,2025-07-27 02:42:10+00:00,1.0,0.030411832366739368,3.111232470401116,83,True,2025w30-Sun
2025-07-27 02:42:12+00:00,34.606987,-98.426449,343.6,83,96,,1.0,2.507166315774231,2.507166315774231,2.7698215836094104,361.03408462030967,34.606965,-98.426443,2.507166315774231,2025-07-27 02:42:11+00:00,1.0,0.0329189986825136,6.647624409732548,83,True,2025w30-Sun
2025-07-27 02:42:13+00:00,34.607,-98.426459,343.6,83,96,,1.0,1.7109014931693616,1.7109014931693616,2.4525295058557015,407.7422912190793,34.606987,-98.426449,1.7109014931693616,2025-07-27 02:42:12+00:00,1.0,0.03462990017568295,9.741472590058795,83,True,2025w30-Sun
