category,Activity,Body,Heart,Heart,Heart,Heart,Heart + Lungs,Metabolism,Recovery,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Quality,Sleep Quality,Sleep Quality,Sleep Quality,Sleep Quality,Sleep Quality,Sleep Quality,Sleep Quality,Sleep Quality,Sleep Vitals
name,Strain Score,Skin Temperature,Avg Heart Rate,Heart Rate Variability,Max Heart Rate,Resting Heart Rate,Blood Oxygenation,Total Calories Burned,Recovery Score,Deep Sleep,Deep Sleep Percent,Light Sleep,Light Sleep Percent,Nap Count,Nap Sleep,REM Sleep,REM Sleep Percent,Sleep End Time,Sleep Start Time,Time Awake,Time in Bed,Total Sleep,Sleep Consistency,Sleep Cycles,Sleep Disturbances,Sleep Disturbances / Hour,Sleep Disturbances Duration,Sleep Onset Latency,Sleep Score,Time Asleep Percent,Time Awake Percent,Sleep Respiratory Rate
units,,Fahrenheit,Beats / min,Milliseconds,Beats / min,Beats / min,%,Calories,%,Hours,%,Hours,%,Naps,Hours,Hours,%,24-hour time,24-hour time,Hours,Hours,Hours,%,Cycles,Disturbances,Disturbances,Minutes,Minutes,%,%,%,Breaths / min
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-24,13.82572776260244,,80.0,,187.0,,,1480.8463977354206,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-25,18.346804791042885,93.02,73.0,156.42871,206.0,53.0,96.791664,2722.0239584578153,94.0,1.250848888888889,19.772700637614463,2.3728119444444444,37.508048065287475,,,2.70248,42.71925129709806,8.116666666666667,1.1166666666666667,0.6874505555555556,7.0,6.326140833333333,,6.0,6.0,0.8571428571428571,11.503866666666665,0.0,70.0,90.19830900550276,9.801690994497232,17.578125
2022-03-26,13.56810592422519,92.34800600000001,69.0,138.87171,169.0,54.0,99.14286,2460.430546426864,87.0,1.6596863888888889,19.677368499070464,2.9671988888888885,35.17933649247269,1.0,1.3783730555555556,3.807608333333333,45.14329500845684,9.766666666666667,0.7666666666666667,0.5818341666666667,9.005666666666666,8.434493611111112,,9.0,15.0,1.6656179442573196,32.22,2.3872333333333335,84.0,93.54688315457328,6.453116845426722,17.34375
2022-03-27,5.614602191435573,92.48,64.0,135.7447,129.0,53.0,,1913.6277849769956,87.0,2.1696011111111115,24.64386507041484,3.3570816666666667,38.132109722845634,,,3.2771355555555552,37.224025206739526,9.133333333333333,-0.3000000000000007,0.5978758333333334,9.391593333333333,8.803818333333334,,6.0,12.0,1.277738459714681,24.016666666666666,0.0,100.0,93.64076492242134,6.359235077578659,17.246094
2022-03-28,19.708406683633324,93.02,77.0,148.84572,198.0,50.0,96.38461,3405.009457531668,95.0,1.5960411111111108,20.38178539074831,2.972542222222222,37.959998158251466,,,3.2621394444444443,41.65821645100023,8.616666666666667,0.05,0.7337130555555557,8.555454166666665,7.830722777777778,75.0,6.0,15.0,1.7532675306054761,31.274549999999998,6.713133333333333,99.0,91.4330252472685,8.56697475273149,16.855469
2022-03-29,15.870502089333081,92.378003,75.0,148.73475,177.0,55.0,97.63636,2986.205821283461,94.0,2.0663783333333337,22.722089013375527,3.338870555555556,36.71453225367987,,,3.6888900000000002,40.5633787329446,10.016666666666667,-0.05000000000000071,0.6537655555555556,9.736005277777776,9.094138888888889,80.0,7.0,12.0,1.232538362257233,24.4817,0.0,100.0,93.29327078161757,6.706729218382436,17.753906
2022-03-30,8.218102953555967,93.248006,64.0,132.45049,151.0,55.0,98.333336,2081.4479733060466,62.0,2.4343036111111114,27.86737060757849,3.0950141666666666,35.431039260890664,1.0,0.467395,3.206000833333333,36.70159013153086,10.433333333333334,0.36666666666666664,1.3350813888888888,10.05804611111111,8.73531861111111,78.0,7.0,20.0,1.9884577759000355,43.11546666666666,0.0,100.0,86.74251877890761,13.257481221092398,17.485352
2022-03-31,15.81022021338956,93.02,72.0,142.50663999999998,197.0,52.0,93.45,2669.322260023303,77.0,1.506999722222222,20.092062341401206,2.9792141666666665,39.720350231242826,,,3.014259166666667,40.18758742735597,8.466666666666667,0.5833333333333334,0.3941358333333333,7.885176944444444,7.500473055555556,74.0,6.0,11.0,1.3950225946102737,23.440350000000002,0.0,99.0,95.00753186281271,4.99246813718729,17.285156
2022-04-01,18.405247393426297,91.971032,69.0,123.139024,195.0,55.0,96.0,2880.3465863258843,42.0,1.3981647222222222,19.330788330799432,2.8963480555555554,40.04441701638657,,,2.9383258333333333,40.624794652814,8.833333333333334,1.1166666666666667,0.4989516666666667,7.716666666666667,7.232838611111111,75.0,5.0,8.0,1.036717062634989,16.294416666666667,3.3485500000000004,84.0,93.5467511567053,6.453248843294703,18.164062
2022-04-02,15.854638766770144,92.219,71.0,150.23301999999998,179.0,55.0,97.333336,2474.7106723530114,83.0,1.5118122222222223,21.019366620242103,2.897946388888889,40.29137792279908,,,2.7827141666666666,38.68925545695882,10.933333333333334,3.1666666666666665,0.5628388888888889,7.746876388888889,7.192472777777778,54.0,6.0,12.0,1.5490114205528358,23.424083333333332,0.0,75.0,92.74253681759762,7.25746318240237,18.339844
2022-04-03,17.92836535061074,92.84,83.0,152.6005,166.0,56.0,98.333336,3351.601945282624,84.0,0.8633913888888889,11.73663567265356,3.6423647222222226,49.51301145898926,,,2.8506227777777777,38.75035286835718,10.55,2.4166666666666665,0.7353083333333335,8.081986944444443,7.356378888888888,69.0,4.0,12.0,1.4847833933026575,23.984583333333333,14.996133333333335,77.0,90.91279342441767,9.087206575582336,18.632812
2022-04-04,8.955200742627603,93.91999999999999,71.0,150.73311,147.0,56.0,96.4,2157.0092633395075,80.0,1.7171774999999998,21.672661920947625,4.314826388888889,54.457837686536294,,,1.8912383333333334,23.869500392516084,8.2,-0.8000000000000007,1.0647363888888888,8.977892222222222,7.923242222222222,56.0,7.0,21.0,2.339079093422448,50.404716666666666,0.9452833333333334,81.0,88.15377255601564,11.846227443984361,17.871094
2022-04-05,19.71009573715491,92.3,78.0,129.2209,198.0,56.0,97.2,3397.6252539435945,50.0,1.2508447222222223,15.87324096974855,4.237044444444445,53.76816664079313,,,2.3923208333333332,30.358592389458316,9.533333333333333,0.13333333333333333,1.5405699999999998,9.409423888888888,7.880210000000001,65.0,4.0,15.0,1.5941464830501195,31.659116666666666,7.24185,90.0,83.64710777663845,16.352892223361547,18.574219
2022-04-06,4.822427064405837,93.38000000000001,67.0,99.35381,128.0,62.0,98.181816,1726.4036685513265,35.0,2.304642777777778,24.875397605577245,3.298503611111111,35.602736190178,,,3.661601111111111,39.52186620424476,10.283333333333333,0.2833333333333333,0.7516366666666666,10.005428055555553,9.2647475,74.0,8.0,14.0,1.3992404844914599,27.028933333333335,2.8679,97.0,92.49592812975341,7.50407187024659,18.28125
2022-04-07,13.881334546537344,93.2,70.0,116.70164,193.0,59.0,96.28571,2276.8678391640774,48.0,1.4762497222222222,17.355889429655548,4.0302822222222225,47.382994601956504,,,2.9992247222222224,35.26111596838795,8.95,-1.1000000000000014,1.5005569444444444,9.997419722222222,8.505756666666667,73.0,8.0,23.0,2.3005936170585795,44.38073333333333,2.8679,100.0,85.00389851085409,14.996101489145921,18.603516
2022-04-08,15.90802929034954,93.164,75.0,121.2559,168.0,58.0,98.9,3029.9347682391253,61.0,1.7653258333333333,20.168176752834217,3.513502777777778,40.14043396736272,,,3.4741977777777775,39.69138927980306,8.766666666666667,-0.533333333333335,0.5668616666666666,9.30740388888889,8.75302638888889,81.0,7.0,13.0,1.3967374957821812,24.144816666666667,0.9452833333333334,100.0,93.9177202205904,6.082279779409606,18.339844
2022-04-09,11.235978242009702,92.11999999999999,71.0,121.77721,156.0,57.0,96.0,2298.3594496892924,63.0,2.1161130555555556,25.016669828501986,2.743661666666667,32.43554395920388,,,3.599037222222222,42.54778621229413,9.55,0.1,1.008318611111111,9.4569525,8.458811944444445,83.0,9.0,22.0,2.326330813229738,45.582433333333334,6.7612000000000005,98.0,89.34926897654957,10.650731023450435,17.753906
2022-04-10,20.336767148329614,92.968178,78.0,118.60444000000001,198.0,57.0,94.61539,3331.432802043499,65.0,1.737495,20.148302887941387,3.465903611111111,40.19123838461491,,,3.420131666666667,39.6604587274437,9.45,0.18333333333333332,0.6599172222222224,9.272432222222223,8.623530277777776,87.0,9.0,12.0,1.2941588261212538,24.417183333333334,0.0,100.0,92.89146384226095,7.108536157739054,17.460938
2022-04-11,5.647689797730712,93.02,65.0,113.21079,145.0,59.0,94.625,1901.4423436006214,57.0,1.76155,19.30436370831494,3.931675833333333,43.08620264531742,,,3.4319130555555555,37.609433646367634,11.05,0.18333333333333332,1.6080566666666667,10.720537222222223,9.12513888888889,77.0,6.0,24.0,2.238693780219451,52.02276666666667,0.0,100.0,85.0179132734209,14.9820867265791,17.8125
2022-04-12,15.412436150508821,91.4,75.0,127.32154000000001,181.0,54.0,95.42857,2861.033102294455,73.0,1.6048641666666668,25.609079377622763,3.0434244444444447,48.56442046398023,,,1.6184894444444444,25.82650015839701,6.966666666666667,0.23333333333333334,0.4767575,6.736426666666666,6.266778055555556,78.0,5.0,9.0,1.3360198878930867,18.21715,0.0,79.0,92.93015516753329,7.069844832466715,18.046875
2022-04-13,5.641295650472277,93.28999999999999,65.0,113.79099,146.0,58.0,94.875,1836.7779879451482,51.0,1.849513888888889,22.12156883943504,2.4270802777777774,29.029694649090438,,,4.084087222222222,48.84873651147453,9.083333333333334,0.13333333333333333,0.6053719444444444,8.955463888888888,8.360681388888889,78.0,9.0,12.0,1.3399640877217414,23.5046,2.3872500000000003,89.0,93.24817819013147,6.751821809868532,18.398438
2022-04-14,4.542952452936563,92.11999999999999,63.0,136.30497,123.0,56.0,97.30769,1761.3140273960325,89.0,2.1604880555555552,25.295859903001105,3.114266666666667,36.46308207907632,,,3.266121388888889,38.24105801792257,8.866666666666667,-0.466666666666665,0.7994894444444445,9.329548888888889,8.54087611111111,76.0,9.0,10.0,1.071863186430117,19.6268,2.3872333333333335,100.0,91.4404908492161,8.559509150783892,17.666016
2022-04-15,9.207801594654372,92.11999999999999,66.0,159.26827,166.0,48.0,97.0,2226.3629395464864,99.0,1.6276,20.0112444057169,4.165383611111111,51.21314173354147,,,2.340443611111111,28.775613860741633,8.2,-1.25,1.340142777777778,9.46229638888889,8.133427222222222,74.0,6.0,18.0,1.9022866395451867,37.44295,0.0,100.0,85.85387791742947,14.146122082570539,16.860352
2022-04-16,17.07149569393899,92.48,68.0,146.05828000000002,194.0,54.0,96.541664,2464.2266297203632,89.0,1.5155680555555555,19.81079107692438,3.301688611111111,43.15811687638542,,,2.8329580555555554,37.0310920466902,9.766666666666667,1.3166666666666667,0.8058958333333333,8.447569166666666,7.6502147222222225,63.0,7.0,17.0,2.012413235641851,35.61646666666666,0.0,95.0,90.46966299649583,9.530337003504172,17.8125
2022-04-17,14.772154707429475,93.38000000000001,68.0,131.80512,177.0,55.0,97.44231,2561.355386591778,70.0,1.3562016666666667,15.53213660305077,4.227689722222222,48.41835539272255,,,3.1476933333333337,36.049508004226674,9.983333333333333,0.9,0.36953888888888886,9.08897,8.731584722222221,76.0,6.0,10.0,1.1002346800572562,17.656133333333333,0.0,97.0,95.93963443768924,4.060365562310759,17.753906
2022-04-18,6.323122305201431,92.66,63.0,136.82377000000002,140.0,54.0,98.125,1902.0596972842973,74.0,1.5417647222222222,18.853543102742556,3.872606666666667,47.35635447977551,,,2.7632147222222225,33.79010241748193,9.966666666666667,1.0833333333333333,0.717665,8.883631666666668,8.177586111111111,84.0,5.0,15.0,1.688498641415232,30.26535,1.9065833333333333,95.0,91.93204338994366,8.067956610056353,18.068848
2022-04-19,17.865288229925586,92.27600240000001,68.0,151.69919000000002,193.0,51.0,98.25,2626.845759141969,90.0,1.9963127777777776,23.130940987234144,3.778469722222222,43.78049428910794,,,2.855704166666667,33.08856472365792,10.25,0.48333333333333334,1.1495069444444446,9.768305,8.630486666666666,85.0,10.0,16.0,1.637950493970039,33.982816666666665,0.0,100.0,88.24634258310269,11.753657416897314,17.929688
2022-04-20,15.69919866203768,89.96000000000001,68.0,136.97523999999999,193.0,57.0,95.61539,2503.3178384171842,70.0,1.8613141666666666,19.982333965292685,4.861672222222222,52.19299337747357,,,2.591812222222222,27.824672657233744,9.983333333333333,-1.1166666666666671,1.8078058333333333,11.107715,9.314798611111112,74.0,9.0,19.0,1.7105228213003303,39.750366666666665,0.0,100.0,83.74656005827572,16.25343994172428,18.164062
2022-04-21,4.321380883459979,91.94,61.0,129.96472,129.0,55.0,95.0,1728.0667890326242,65.0,1.4152955555555558,14.767694903661493,5.413281111111112,56.484091653394984,,,2.7551502777777777,28.748213442943516,10.75,-0.4499999999999993,1.6372172222222223,11.208675555555557,9.583726944444445,80.0,10.0,16.0,1.4274657091015215,32.18795,2.8679,100.0,85.40927396211633,14.59072603788367,17.871094
2022-04-22,5.279198383793258,91.76,59.0,162.94512,138.0,50.0,94.84375,2097.6907937978012,98.0,0.09759472222222222,0.8327473219205354,9.863676111111111,84.16387360697904,,,1.7583372222222224,15.003379071100428,13.633333333333333,-1.6666666666666679,3.613735555555556,15.314814722222222,11.719608055555556,52.0,8.0,17.0,1.110036282406507,32.108399999999996,3.3645666666666667,100.0,76.43217521756371,23.567824782436286,17.988281
2022-04-23,16.989943571137008,93.56,69.0,183.2949,201.0,49.0,96.8,2417.3962098918496,98.0,1.3877452777777777,18.534384109621058,4.188900277777778,55.94592032736436,,,1.9107641666666668,25.519695563014576,9.616666666666667,1.3833333333333333,0.7666097222222222,8.243559166666666,7.487409722222222,44.0,6.0,16.0,1.9409092209463326,34.095,0.0,94.0,90.7122859670726,9.287714032927392,17.695312
2022-04-24,16.377843211563007,91.22,70.0,165.89296000000002,190.0,52.0,94.34615,2932.191458532505,94.0,1.2706333333333333,14.986257650091584,4.01593,47.36516830299769,,,3.1920933333333332,37.64857404691073,8.316666666666666,-0.6166666666666671,0.47381694444444444,8.941043888888888,8.478656666666668,64.0,7.0,12.0,1.342125164480235,21.934233333333335,0.0,95.0,94.70741869759459,5.292581302405403,17.8125
2022-04-25,1.8612542746118017,92.66,61.0,111.80726,103.0,59.0,93.791664,1745.9741304299116,37.0,0.9575136111111111,14.033791276805657,2.4260052777777776,35.55672870827892,,,3.4393958333333337,50.40948001491542,9.833333333333334,2.283333333333333,0.7529533333333334,7.566347777777778,6.8229147222222215,53.0,2.0,19.0,2.511119044224037,44.82886666666666,0.0,77.0,90.06116094140295,9.938839058597063,17.753906
2022-04-26,13.802254621556978,92.66,70.0,170.11588999999998,159.0,48.0,97.71429,2598.3550616933558,85.0,1.3965694444444443,23.35973768366409,2.6535727777777773,44.38502092393916,,,1.92839,32.25524139239676,8.4,1.5833333333333335,0.8652652777777778,6.836828055555555,5.978532222222222,68.0,7.0,10.0,1.4626665931541272,19.787133333333333,0.0,68.0,87.35694213953909,12.64305786046092,17.783203
2022-04-27,10.569907709418493,91.94,66.0,161.21303,160.0,51.0,97.4,2239.2482429343927,76.0,1.5217077777777779,17.437347089133503,3.875245833333333,44.40669071839356,1.0,1.555616111111111,3.3297625,38.155962192472934,9.983333333333333,0.7666666666666667,0.5091069444444445,9.225169444444445,8.726716111111111,71.0,5.0,15.0,1.6259863941071844,30.28148333333333,0.0,91.0,94.48769274398123,5.512307256018781,17.167969
