time,latitude,longitude,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,lat_prev,lon_prev,distance_segment_m,time_prev,time_delta_s,distance_cumulative_km,pace_min_per_km,heart_rate,is_walk,planning_id,zone_hr,zone_pace,zone_effective
2025-07-20 02:45:21+00:00,34.607234,-98.427238,344.4,123,152,,0.0,,0.0,0.0,,,,,,0.0,,,123,False,2025w29-Sun,Z1 (Recovery),,Z1 (Recovery)
2025-07-20 02:45:22+00:00,34.607234,-98.427238,344.4,123,150,,1.0,0.0,0.0,0.0,,34.607234,-98.427238,0.0,2025-07-20 02:45:21+00:00,1.0,0.0,,123,False,2025w29-Sun,Z1 (Recovery),,Z1 (Recovery)
2025-07-20 02:45:23+00:00,34.607234,-98.427238,344.4,123,150,,1.0,0.0,0.0,0.0,,34.607234,-98.427238,0.0,2025-07-20 02:45:22+00:00,1.0,0.0,,123,False,2025w29-Sun,Z1 (Recovery),,Z1 (Recovery)
2025-07-20 02:45:24+00:00,34.607234,-98.427238,344.4,123,150,,1.0,0.0,0.0,0.0,,34.607234,-98.427238,0.0,2025-07-20 02:45:23+00:00,1.0,0.0,,123,False,2025w29-Sun,Z1 (Recovery),,Z1 (Recovery)
2025-07-20 02:45:25+00:00,34.607234,-98.427238,344.4,123,150,,1.0,0.0,0.0,0.0,,34.607234,-98.427238,0.0,2025-07-20 02:45:24+00:00,1.0,0.0,,123,False,2025w29-Sun,Z1 (Recovery),,Z1 (Recovery)
2025-07-20 02:45:26+00:00,34.607234,-98.427238,344.4,123,150,,1.0,0.0,0.0,0.41776084955559767,2393.7140138042423,34.607234,-98.427238,0.0,2025-07-20 02:45:25+00:00,1.0,0.0,,123,False,2025w29-Sun,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-07-20 02:45:27+00:00,34.607234,-98.427238,344.4,123,152,,1.0,0.0,0.0,0.8419830154589046,1187.6724133858825,34.607234,-98.427238,0.0,2025-07-20 02:45:26+00:00,1.0,0.0,,123,False,2025w29-Sun,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-07-20 02:45:28+00:00,34.607229,-98.42726,344.4,123,152,,1.0,2.088807132821952,2.088807132821952,1.2597439163957282,793.812128786551,34.607234,-98.427238,2.088807132821952,2025-07-20 02:45:27+00:00,1.0,0.002088807132821952,7.979051650155702,123,False,2025w29-Sun,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-07-20 02:45:29+00:00,34.607223,-98.427282,344.4,121,152,,1.0,2.121113760105028,2.121113760105028,1.6839661327418778,593.8361707855572,34.607229,-98.42726,2.121113760105028,2025-07-20 02:45:28+00:00,1.0,0.00420992089292698,7.857522926622633,121,False,2025w29-Sun,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-07-20 02:45:30+00:00,34.607218,-98.427304,344.5,118,154,,1.0,2.088807389562199,2.088807389562199,2.1193981510227045,471.83206209623955,34.607223,-98.427282,2.088807389562199,2025-07-20 02:45:29+00:00,1.0,0.00629872828248918,7.979050669431629,118,False,2025w29-Sun,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-07-20 02:45:31+00:00,34.607212,-98.427326,344.6,116,154,,1.0,2.121114011317632,2.121114011317632,2.3684162429372573,422.2230796558895,34.607218,-98.427304,2.121114011317632,2025-07-20 02:45:30+00:00,1.0,0.00841984229380681,7.857521996022588,116,False,2025w29-Sun,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-07-20 02:45:32+00:00,34.607217,-98.427349,344.6,116,154,,1.0,2.177163098743857,2.177163098743857,2.2983139968921398,435.10155764279153,34.607212,-98.427326,2.177163098743857,2025-07-20 02:45:31+00:00,1.0,0.010597005392550667,7.655237225734752,116,False,2025w29-Sun,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-07-20 02:45:33+00:00,34.607238,-98.427375,344.7,112,154,,1.0,3.33389931235719,3.33389931235719,2.44174228605461,409.54363026403144,34.607217,-98.427349,3.33389931235719,2025-07-20 02:45:32+00:00,1.0,0.013930904704907857,4.9991611738916095,112,False,2025w29-Sun,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-07-20 02:45:34+00:00,34.607235,-98.427394,344.8,112,154,,1.0,1.7706020451765385,1.7706020451765385,2.5413174520673296,393.49668778550773,34.607238,-98.427375,1.7706020451765385,2025-07-20 02:45:33+00:00,1.0,0.015701506750084394,9.41301296098878,112,False,2025w29-Sun,Z1 (Recovery),Z2 (Aerobic),mixed
2025-07-20 02:45:35+00:00,34.607214,-98.427411,344.8,112,154,,1.0,2.805949826698007,2.805949826698007,2.606606842679825,383.64051825012115,34.607235,-98.427394,2.805949826698007,2025-07-20 02:45:34+00:00,1.0,0.0185074565767824,5.93977121095322,112,False,2025w29-Sun,Z1 (Recovery),Z2 (Aerobic),mixed
2025-07-20 02:45:36+00:00,34.607198,-98.427432,344.9,112,154,,1.0,2.6189905285367625,2.6189905285367625,2.4823451983330447,402.84485843126265,34.607214,-98.427411,2.6189905285367625,2025-07-20 02:45:35+00:00,1.0,0.021126447105319166,6.363787809997057,112,False,2025w29-Sun,Z1 (Recovery),Z2 (Aerobic),mixed
2025-07-20 02:45:37+00:00,34.607191,-98.427458,344.9,113,154,,1.0,2.5036105032982343,2.5036105032982343,2.6229370199359097,381.2520058237748,34.607198,-98.427432,2.5036105032982343,2025-07-20 02:45:36+00:00,1.0,0.0236300576086174,6.657065856707118,113,False,2025w29-Sun,Z1 (Recovery),Z2 (Aerobic),mixed
2025-07-20 02:45:38+00:00,34.607183,-98.427486,345.0,112,154,,1.0,2.712590232227024,2.712590232227024,2.574745867804677,388.38784538088674,34.607191,-98.427458,2.712590232227024,2025-07-20 02:45:37+00:00,1.0,0.026342647840844422,6.1442011410314326,112,False,2025w29-Sun,Z1 (Recovery),Z2 (Aerobic),mixed
2025-07-20 02:45:39+00:00,34.607182,-98.427513,345.0,112,156,,1.0,2.4735621241221604,2.4735621241221604,2.5249067890031216,396.05422439963337,34.607183,-98.427486,2.4735621241221604,2025-07-20 02:45:38+00:00,1.0,0.02881620996496658,6.737934672214802,112,False,2025w29-Sun,Z1 (Recovery),Z2 (Aerobic),mixed
2025-07-20 02:45:40+00:00,34.607181,-98.427541,345.1,113,156,,1.0,2.5649937323732734,2.5649937323732734,2.6177612974482303,382.0058005192417,34.607182,-98.427513,2.5649937323732734,2025-07-20 02:45:39+00:00,1.0,0.031381203697339856,6.497754668811237,113,False,2025w29-Sun,Z1 (Recovery),Z2 (Aerobic),mixed
2025-07-20 02:45:41+00:00,34.607173,-98.427565,345.1,114,156,,1.0,2.3697947907935855,2.3697947907935855,2.613686355438804,382.6013775214865,34.607181,-98.427541,2.3697947907935855,2025-07-20 02:45:40+00:00,1.0,0.03375099848813344,7.03297182724363,114,False,2025w29-Sun,Z1 (Recovery),Z2 (Aerobic),mixed
2025-07-20 02:45:42+00:00,34.607156,-98.42759,345.2,114,156,,1.0,2.967883686163608,2.967883686163608,2.685260657468737,372.40332599318333,34.607173,-98.427565,2.967883686163608,2025-07-20 02:45:41+00:00,1.0,0.03671888217429705,5.615685034322881,114,False,2025w29-Sun,Z1 (Recovery),Z2 (Aerobic),mixed
2025-07-20 02:45:43+00:00,34.607142,-98.427614,345.2,115,156,,1.0,2.6922154937326885,2.6922154937326885,2.6431824000749335,378.33181696868525,34.607156,-98.42759,2.6922154937326885,2025-07-20 02:45:42+00:00,1.0,0.03941109766802974,6.190700573114985,115,False,2025w29-Sun,Z1 (Recovery),Z2 (Aerobic),mixed
2025-07-20 02:45:44+00:00,34.607127,-98.427639,345.3,116,156,,1.0,2.831434128880252,2.831434128880252,2.652582358522367,376.9911221746398,34.607142,-98.427614,2.831434128880252,2025-07-20 02:45:43+00:00,1.0,0.042242531796909996,5.886310343582382,116,False,2025w29-Sun,Z1 (Recovery),Z2 (Aerobic),mixed
